Company,Job_Title,Location,Salary_INR
AI-Flow,Full Stack Developer,Hyderabad,1285492
TechNova,Data Scientist,Pune,646985
DataLogic,Full Stack Developer,Delhi,2432828
AI-Flow,Data Scientist,Mumbai,1827391
AI-Flow,Backend Engineer,Bangalore,1973115
TechNova,Backend Engineer,Pune,1208034
AI-Flow,Prompt Engineer,Delhi,617304
TechNova,AI Engineer,Remote,1370868
TechNova,AI Engineer,Pune,625419
DeepSolutions,Prompt Engineer,Remote,1170487
CloudScale,Full Stack Developer,Bangalore,852049
TechNova,Prompt Engineer,Remote,1822755
TechNova,Data Scientist,Delhi,2144044
DataLogic,Data Scientist,Delhi,1978795
CloudScale,Backend Engineer,Mumbai,1192918
DataLogic,AI Engineer,Mumbai,1257293
TechNova,Backend Engineer,Hyderabad,1271688
AI-Flow,Full Stack Developer,Bangalore,1376685
DeepSolutions,Backend Engineer,Pune,2085154
DeepSolutions,Backend Engineer,Remote,1555574
DataLogic,Full Stack Developer,Bangalore,1841734
DataLogic,Data Scientist,Mumbai,1994101
AI-Flow,Data Scientist,Remote,1037090
DataLogic,Backend Engineer,Bangalore,1076717
DataLogic,Full Stack Developer,Mumbai,2133596
DeepSolutions,Prompt Engineer,Pune,1214192
DeepSolutions,Backend Engineer,Remote,1538050
DataLogic,Prompt Engineer,Bangalore,1127613
DataLogic,AI Engineer,Hyderabad,2447414
AI-Flow,Prompt Engineer,Mumbai,1440601
CloudScale,Backend Engineer,Hyderabad,937290
CloudScale,Full Stack Developer,Pune,912882
TechNova,Full Stack Developer,Hyderabad,2463090
DataLogic,Prompt Engineer,Remote,1909288
DataLogic,Full Stack Developer,Hyderabad,2273914
CloudScale,Full Stack Developer,Mumbai,1302718
CloudScale,Backend Engineer,Bangalore,2446822
DeepSolutions,Prompt Engineer,Remote,735752
AI-Flow,Full Stack Developer,Remote,963979
AI-Flow,Backend Engineer,Mumbai,1091805
DataLogic,Prompt Engineer,Bangalore,2063931
CloudScale,Prompt Engineer,Bangalore,1850502
DeepSolutions,AI Engineer,Pune,1399674
AI-Flow,Backend Engineer,Delhi,632297
DataLogic,AI Engineer,Remote,1602727
DataLogic,Prompt Engineer,Bangalore,1756083
AI-Flow,Prompt Engineer,Remote,1596758
DeepSolutions,Prompt Engineer,Hyderabad,722570
DataLogic,Data Scientist,Hyderabad,1007244
DeepSolutions,Backend Engineer,Hyderabad,1305833
DataLogic,Backend Engineer,Pune,2306763
DataLogic,Data Scientist,Bangalore,1058720
DeepSolutions,Backend Engineer,Mumbai,1296167
DeepSolutions,AI Engineer,Mumbai,1758038
AI-Flow,Data Scientist,Hyderabad,2053607
DeepSolutions,Data Scientist,Mumbai,938487
AI-Flow,Full Stack Developer,Remote,647181
TechNova,Prompt Engineer,Mumbai,2163796
AI-Flow,Data Scientist,Delhi,1654893
TechNova,Full Stack Developer,Remote,940113
CloudScale,Prompt Engineer,Hyderabad,1293266
CloudScale,Backend Engineer,Pune,2020440
AI-Flow,AI Engineer,Bangalore,703735
TechNova,AI Engineer,Remote,664636
DeepSolutions,Data Scientist,Bangalore,1651133
CloudScale,Data Scientist,Delhi,1137837
DeepSolutions,Full Stack Developer,Remote,784212
AI-Flow,AI Engineer,Bangalore,2388885
CloudScale,Backend Engineer,Pune,1223681
AI-Flow,Backend Engineer,Hyderabad,1377833
DeepSolutions,Full Stack Developer,Pune,1983737
TechNova,Full Stack Developer,Mumbai,1843354
DataLogic,Prompt Engineer,Remote,2158959
TechNova,Data Scientist,Bangalore,2416200
DataLogic,Backend Engineer,Pune,724309
TechNova,Backend Engineer,Delhi,1652708
AI-Flow,Prompt Engineer,Bangalore,1597205
AI-Flow,Prompt Engineer,Hyderabad,2315905
AI-Flow,Prompt Engineer,Pune,1061262
TechNova,Data Scientist,Bangalore,2091829
DeepSolutions,Prompt Engineer,Pune,878686
CloudScale,Backend Engineer,Pune,1628800
TechNova,AI Engineer,Bangalore,2451235
CloudScale,AI Engineer,Mumbai,1370418
CloudScale,Backend Engineer,Bangalore,895041
TechNova,Prompt Engineer,Mumbai,724718
CloudScale,Prompt Engineer,Mumbai,1765247
TechNova,Data Scientist,Hyderabad,941231
TechNova,Backend Engineer,Bangalore,1292836
DeepSolutions,AI Engineer,Hyderabad,731570
CloudScale,AI Engineer,Hyderabad,1374641
AI-Flow,Full Stack Developer,Delhi,1615538
TechNova,Prompt Engineer,Remote,1296305
CloudScale,AI Engineer,Remote,1177693
DataLogic,Data Scientist,Bangalore,1260037
DataLogic,Prompt Engineer,Hyderabad,1783450
DataLogic,Prompt Engineer,Bangalore,1448981
CloudScale,Prompt Engineer,Remote,947471
TechNova,AI Engineer,Bangalore,1764783
CloudScale,AI Engineer,Pune,2120265
CloudScale,AI Engineer,Remote,2066138
TechNova,Prompt Engineer,Delhi,1890577
CloudScale,Prompt Engineer,Mumbai,736447
DeepSolutions,Full Stack Developer,Pune,919114
AI-Flow,AI Engineer,Delhi,2323191
AI-Flow,Prompt Engineer,Bangalore,1161755
DeepSolutions,Data Scientist,Bangalore,2068690
DeepSolutions,AI Engineer,Delhi,826031
TechNova,Prompt Engineer,Delhi,1014341
AI-Flow,Backend Engineer,Mumbai,1082282
DeepSolutions,Prompt Engineer,Bangalore,1808524
DataLogic,Backend Engineer,Pune,667830
TechNova,Backend Engineer,Mumbai,2393823
TechNova,AI Engineer,Pune,1324839
CloudScale,Data Scientist,Hyderabad,1689794
DataLogic,Data Scientist,Bangalore,800431
CloudScale,Prompt Engineer,Bangalore,1632903
DeepSolutions,Data Scientist,Pune,947471
TechNova,AI Engineer,Remote,1176554
DataLogic,Data Scientist,Delhi,1809891
DataLogic,Full Stack Developer,Remote,1008603
DataLogic,Data Scientist,Pune,1587952
DataLogic,Data Scientist,Bangalore,2276161
DeepSolutions,Backend Engineer,Mumbai,2452376
DeepSolutions,Prompt Engineer,Remote,2143445
DeepSolutions,Full Stack Developer,Delhi,1816209
TechNova,Prompt Engineer,Remote,731477
CloudScale,Backend Engineer,Bangalore,1688054
DataLogic,Data Scientist,Hyderabad,1836530
AI-Flow,AI Engineer,Bangalore,2085621
AI-Flow,AI Engineer,Bangalore,1267562
AI-Flow,AI Engineer,Hyderabad,744046
TechNova,Prompt Engineer,Hyderabad,1155218
TechNova,AI Engineer,Hyderabad,1490662
TechNova,Prompt Engineer,Mumbai,654416
DeepSolutions,Backend Engineer,Mumbai,1664114
DeepSolutions,AI Engineer,Hyderabad,2452308
TechNova,AI Engineer,Hyderabad,2032619
TechNova,Full Stack Developer,Bangalore,1894009
TechNova,Data Scientist,Pune,1910100
DataLogic,Prompt Engineer,Hyderabad,2478109
TechNova,Backend Engineer,Pune,2338326
DataLogic,AI Engineer,Remote,904220
AI-Flow,Data Scientist,Remote,2421385
AI-Flow,Data Scientist,Hyderabad,1994630
TechNova,Full Stack Developer,Hyderabad,1539200
CloudScale,Backend Engineer,Bangalore,2342494
DataLogic,Prompt Engineer,Mumbai,1887375
DeepSolutions,Full Stack Developer,Mumbai,2251393
TechNova,Data Scientist,Hyderabad,994594
TechNova,AI Engineer,Hyderabad,2157953
DataLogic,Full Stack Developer,Hyderabad,1630035
DataLogic,Backend Engineer,Remote,2194680
CloudScale,Full Stack Developer,Remote,1669583
TechNova,Data Scientist,Remote,1923427
TechNova,Backend Engineer,Bangalore,845390
AI-Flow,AI Engineer,Pune,1773460
AI-Flow,AI Engineer,Pune,1665382
DataLogic,Backend Engineer,Remote,2421557
DataLogic,Backend Engineer,Remote,1904564
CloudScale,Prompt Engineer,Hyderabad,2049651
AI-Flow,Full Stack Developer,Bangalore,1260855
DataLogic,Prompt Engineer,Remote,1967166
DeepSolutions,Backend Engineer,Bangalore,1680369
CloudScale,Data Scientist,Delhi,1157204
TechNova,Full Stack Developer,Mumbai,870247
AI-Flow,Backend Engineer,Delhi,1845842
AI-Flow,Full Stack Developer,Delhi,1633006
DataLogic,AI Engineer,Pune,1709561
DeepSolutions,Prompt Engineer,Bangalore,2386064
DataLogic,Prompt Engineer,Bangalore,880093
DeepSolutions,AI Engineer,Bangalore,887455
CloudScale,Full Stack Developer,Pune,1989890
DeepSolutions,Prompt Engineer,Mumbai,1357530
DeepSolutions,Prompt Engineer,Delhi,2182436
CloudScale,Data Scientist,Mumbai,1706747
TechNova,Prompt Engineer,Hyderabad,1268657
DataLogic,Prompt Engineer,Mumbai,2123608
DataLogic,Full Stack Developer,Pune,1601525
AI-Flow,Data Scientist,Bangalore,2157107
AI-Flow,Backend Engineer,Delhi,2480186
AI-Flow,Data Scientist,Bangalore,1370525
DeepSolutions,Full Stack Developer,Remote,2415736
AI-Flow,Full Stack Developer,Bangalore,1689199
TechNova,Data Scientist,Delhi,2271701
AI-Flow,Backend Engineer,Delhi,1407172
DeepSolutions,AI Engineer,Delhi,2366564
CloudScale,Backend Engineer,Bangalore,828430
AI-Flow,Prompt Engineer,Pune,1457715
AI-Flow,Prompt Engineer,Pune,1164779
DeepSolutions,Data Scientist,Remote,2466968
DeepSolutions,Backend Engineer,Pune,1653418
DeepSolutions,Data Scientist,Hyderabad,1877706
AI-Flow,Data Scientist,Mumbai,1877910
DataLogic,Prompt Engineer,Remote,1541896
AI-Flow,Prompt Engineer,Mumbai,759088
DataLogic,Prompt Engineer,Remote,1516123
AI-Flow,Backend Engineer,Mumbai,1756169
DataLogic,AI Engineer,Bangalore,2371771
CloudScale,Data Scientist,Hyderabad,894888
TechNova,AI Engineer,Hyderabad,1256223
DataLogic,Data Scientist,Pune,808840
TechNova,Backend Engineer,Bangalore,1979038
TechNova,Backend Engineer,Remote,1269037
DataLogic,Prompt Engineer,Bangalore,1908197
DeepSolutions,AI Engineer,Hyderabad,703811
DeepSolutions,Prompt Engineer,Pune,1400480
DeepSolutions,Backend Engineer,Bangalore,2051393
AI-Flow,Data Scientist,Hyderabad,785886
DeepSolutions,AI Engineer,Bangalore,626906
CloudScale,Full Stack Developer,Pune,2037597
DeepSolutions,Data Scientist,Bangalore,1179490
DeepSolutions,AI Engineer,Pune,1572223
DataLogic,AI Engineer,Pune,1458887
TechNova,Full Stack Developer,Mumbai,1896092
TechNova,Data Scientist,Pune,1589256
TechNova,Prompt Engineer,Bangalore,2256133
AI-Flow,Backend Engineer,Bangalore,2457129
DataLogic,Data Scientist,Delhi,1032848
TechNova,Backend Engineer,Delhi,1824783
AI-Flow,Full Stack Developer,Pune,2204397
AI-Flow,Data Scientist,Remote,1478498
DataLogic,Prompt Engineer,Mumbai,1653970
DataLogic,Full Stack Developer,Hyderabad,2180849
DeepSolutions,AI Engineer,Pune,2277307
DataLogic,Data Scientist,Remote,928275
TechNova,AI Engineer,Bangalore,1736615
DataLogic,Backend Engineer,Delhi,1108361
DataLogic,Prompt Engineer,Delhi,1118772
TechNova,Prompt Engineer,Remote,1598608
DeepSolutions,Data Scientist,Mumbai,982814
DeepSolutions,Prompt Engineer,Remote,2354281
DataLogic,Prompt Engineer,Hyderabad,2225319
CloudScale,AI Engineer,Mumbai,759983
DataLogic,Full Stack Developer,Pune,1071101
AI-Flow,Data Scientist,Delhi,600437
CloudScale,Full Stack Developer,Hyderabad,1015271
CloudScale,AI Engineer,Mumbai,911446
DeepSolutions,Full Stack Developer,Remote,1195439
DeepSolutions,Backend Engineer,Pune,1579444
TechNova,Prompt Engineer,Pune,750098
AI-Flow,Backend Engineer,Hyderabad,1305672
TechNova,Prompt Engineer,Bangalore,1201158
DataLogic,Full Stack Developer,Delhi,663809
DataLogic,AI Engineer,Mumbai,971136
DataLogic,Prompt Engineer,Hyderabad,1068817
CloudScale,Data Scientist,Delhi,1259321
CloudScale,Full Stack Developer,Remote,2433314
TechNova,Prompt Engineer,Mumbai,861968
TechNova,Prompt Engineer,Bangalore,2075567
DataLogic,Data Scientist,Remote,1925628
AI-Flow,Prompt Engineer,Bangalore,2435139
CloudScale,Prompt Engineer,Delhi,1767959
AI-Flow,Full Stack Developer,Mumbai,1525104
DeepSolutions,Data Scientist,Pune,2414872
CloudScale,Full Stack Developer,Remote,1781856
AI-Flow,Prompt Engineer,Hyderabad,699021
CloudScale,Full Stack Developer,Bangalore,1427311
TechNova,AI Engineer,Delhi,1854789
AI-Flow,Prompt Engineer,Delhi,2248404
DataLogic,AI Engineer,Hyderabad,681861
CloudScale,AI Engineer,Pune,1245522
AI-Flow,Data Scientist,Pune,1993396
TechNova,Data Scientist,Bangalore,659646
TechNova,Prompt Engineer,Remote,995835
DataLogic,Backend Engineer,Mumbai,893651
DataLogic,Backend Engineer,Remote,2072625
TechNova,AI Engineer,Mumbai,1896433
DataLogic,Data Scientist,Pune,1383476
DataLogic,AI Engineer,Delhi,2331112
TechNova,Prompt Engineer,Pune,1741147
DeepSolutions,Full Stack Developer,Delhi,2399656
DataLogic,Full Stack Developer,Remote,2478460
AI-Flow,Backend Engineer,Bangalore,1390479
DeepSolutions,Prompt Engineer,Bangalore,1253376
DeepSolutions,Backend Engineer,Remote,711323
TechNova,Prompt Engineer,Delhi,981307
AI-Flow,AI Engineer,Remote,1571631
TechNova,Data Scientist,Delhi,1951422
CloudScale,AI Engineer,Hyderabad,2254311
CloudScale,Backend Engineer,Bangalore,1744929
TechNova,AI Engineer,Remote,973573
AI-Flow,AI Engineer,Hyderabad,1795350
TechNova,AI Engineer,Delhi,2259659
DeepSolutions,Full Stack Developer,Pune,2325613
AI-Flow,Backend Engineer,Pune,2370899
DataLogic,Prompt Engineer,Mumbai,2069608
DataLogic,Full Stack Developer,Pune,1095181
DataLogic,AI Engineer,Mumbai,2329306
DataLogic,Backend Engineer,Delhi,1732359
TechNova,AI Engineer,Mumbai,1067315
DeepSolutions,Data Scientist,Mumbai,1467142
TechNova,Backend Engineer,Bangalore,1544161
DeepSolutions,AI Engineer,Delhi,1458525
DataLogic,AI Engineer,Mumbai,1555535
AI-Flow,Data Scientist,Pune,1887283
DeepSolutions,AI Engineer,Remote,2023331
CloudScale,AI Engineer,Delhi,2433707
TechNova,AI Engineer,Mumbai,1833119
DeepSolutions,Data Scientist,Bangalore,2231858
DeepSolutions,Prompt Engineer,Hyderabad,1745363
CloudScale,Backend Engineer,Pune,828569
DataLogic,AI Engineer,Delhi,1440610
DataLogic,AI Engineer,Mumbai,1070453
TechNova,Backend Engineer,Remote,1599512
TechNova,AI Engineer,Pune,1559125
DeepSolutions,Prompt Engineer,Mumbai,625040
CloudScale,Backend Engineer,Hyderabad,1074249
CloudScale,Prompt Engineer,Delhi,1057216
AI-Flow,Full Stack Developer,Mumbai,941733
AI-Flow,Full Stack Developer,Mumbai,1081864
AI-Flow,Backend Engineer,Hyderabad,670493
DeepSolutions,Data Scientist,Pune,1822297
AI-Flow,Full Stack Developer,Delhi,1743743
DeepSolutions,Backend Engineer,Mumbai,621574
CloudScale,AI Engineer,Remote,604518
AI-Flow,Backend Engineer,Pune,2381889
TechNova,Backend Engineer,Mumbai,1062219
TechNova,Full Stack Developer,Hyderabad,1219482
DataLogic,Data Scientist,Pune,1627462
CloudScale,Prompt Engineer,Bangalore,1181014
AI-Flow,AI Engineer,Pune,2423289
AI-Flow,Full Stack Developer,Delhi,1980464
DeepSolutions,Data Scientist,Mumbai,1847165
AI-Flow,Backend Engineer,Hyderabad,950484
TechNova,AI Engineer,Remote,2459327
TechNova,AI Engineer,Mumbai,1543447
DataLogic,Prompt Engineer,Bangalore,1349734
TechNova,AI Engineer,Pune,1622513
CloudScale,Data Scientist,Remote,2127861
TechNova,Data Scientist,Hyderabad,1423600
CloudScale,AI Engineer,Delhi,1731881
DataLogic,Full Stack Developer,Hyderabad,1144241
DataLogic,Backend Engineer,Hyderabad,1503075
AI-Flow,AI Engineer,Bangalore,1821844
TechNova,Backend Engineer,Pune,1984946
DeepSolutions,Full Stack Developer,Pune,922054
DeepSolutions,Full Stack Developer,Mumbai,2322276
TechNova,Backend Engineer,Delhi,709239
DataLogic,Prompt Engineer,Bangalore,1119919
TechNova,Backend Engineer,Bangalore,979618
DeepSolutions,AI Engineer,Hyderabad,1434275
DeepSolutions,Data Scientist,Mumbai,1137808
TechNova,AI Engineer,Bangalore,1915786
DeepSolutions,Backend Engineer,Pune,884904
DataLogic,AI Engineer,Remote,1908909
DataLogic,Prompt Engineer,Bangalore,2011364
CloudScale,Backend Engineer,Mumbai,1014987
AI-Flow,AI Engineer,Mumbai,1366459
AI-Flow,Data Scientist,Bangalore,1878965
AI-Flow,Backend Engineer,Delhi,908529
DeepSolutions,Full Stack Developer,Bangalore,1839046
TechNova,Full Stack Developer,Pune,1972685
DeepSolutions,Backend Engineer,Pune,1417834
TechNova,AI Engineer,Hyderabad,1534975
TechNova,Full Stack Developer,Bangalore,880965
AI-Flow,Data Scientist,Mumbai,2185126
DataLogic,Data Scientist,Delhi,2179127
DataLogic,Prompt Engineer,Pune,1192562
AI-Flow,Data Scientist,Pune,2034774
CloudScale,Prompt Engineer,Remote,2311457
DataLogic,AI Engineer,Bangalore,1591549
DataLogic,Prompt Engineer,Mumbai,1469050
DeepSolutions,Full Stack Developer,Bangalore,1526081
CloudScale,Prompt Engineer,Hyderabad,1330742
DataLogic,Backend Engineer,Pune,2050729
TechNova,AI Engineer,Delhi,1104378
TechNova,Full Stack Developer,Bangalore,1189084
DataLogic,Backend Engineer,Remote,1775412
TechNova,Prompt Engineer,Mumbai,1017115
TechNova,Data Scientist,Remote,1549155
DataLogic,Data Scientist,Delhi,872337
TechNova,Data Scientist,Pune,2218210
TechNova,Full Stack Developer,Pune,1059932
DeepSolutions,AI Engineer,Mumbai,752958
DeepSolutions,Data Scientist,Remote,2407475
DeepSolutions,Full Stack Developer,Pune,1479485
DataLogic,Backend Engineer,Delhi,833934
CloudScale,Data Scientist,Remote,2364449
CloudScale,Prompt Engineer,Delhi,1995692
TechNova,Backend Engineer,Delhi,1213797
CloudScale,Backend Engineer,Mumbai,980630
DeepSolutions,AI Engineer,Bangalore,1622568
DataLogic,Full Stack Developer,Delhi,1486302
AI-Flow,Full Stack Developer,Hyderabad,1225903
AI-Flow,Full Stack Developer,Delhi,909269
TechNova,Backend Engineer,Pune,2205080
DeepSolutions,AI Engineer,Pune,2178096
TechNova,AI Engineer,Delhi,1964269
TechNova,AI Engineer,Delhi,1376372
DeepSolutions,Full Stack Developer,Mumbai,1386338
DataLogic,AI Engineer,Mumbai,2309961
CloudScale,Prompt Engineer,Delhi,2270212
CloudScale,Backend Engineer,Hyderabad,1436609
DataLogic,Full Stack Developer,Bangalore,2073745
DeepSolutions,AI Engineer,Remote,2065950
TechNova,Prompt Engineer,Delhi,2318381
DeepSolutions,Backend Engineer,Remote,1120859
TechNova,Prompt Engineer,Mumbai,1768046
TechNova,AI Engineer,Remote,2063792
AI-Flow,Full Stack Developer,Bangalore,1833429
AI-Flow,Full Stack Developer,Mumbai,2288444
DeepSolutions,Data Scientist,Bangalore,1512145
CloudScale,Data Scientist,Pune,1156748
TechNova,Backend Engineer,Hyderabad,1549100
DataLogic,Data Scientist,Mumbai,847726
DataLogic,AI Engineer,Mumbai,2082439
DeepSolutions,Backend Engineer,Remote,1742499
AI-Flow,Data Scientist,Pune,1210447
DataLogic,Data Scientist,Remote,1264408
DataLogic,Backend Engineer,Hyderabad,1888152
DeepSolutions,Prompt Engineer,Delhi,1804144
DeepSolutions,Backend Engineer,Remote,1036382
TechNova,Prompt Engineer,Mumbai,1004724
DataLogic,Full Stack Developer,Bangalore,1137958
DataLogic,Data Scientist,Remote,1883301
DataLogic,Full Stack Developer,Pune,1055101
TechNova,Prompt Engineer,Delhi,2363960
DeepSolutions,Backend Engineer,Remote,968934
DeepSolutions,Data Scientist,Pune,718217
AI-Flow,Full Stack Developer,Pune,2294612
AI-Flow,AI Engineer,Mumbai,2297561
TechNova,Full Stack Developer,Remote,1348955
CloudScale,Backend Engineer,Pune,767824
DeepSolutions,Prompt Engineer,Bangalore,1861872
CloudScale,AI Engineer,Pune,887750
DataLogic,Prompt Engineer,Pune,2321384
AI-Flow,AI Engineer,Delhi,1271709
DeepSolutions,Data Scientist,Bangalore,1478395
DataLogic,AI Engineer,Hyderabad,1160126
DeepSolutions,Prompt Engineer,Delhi,2034943
DataLogic,Full Stack Developer,Hyderabad,1631231
DataLogic,Prompt Engineer,Hyderabad,1969334
CloudScale,Backend Engineer,Remote,1309452
TechNova,Full Stack Developer,Mumbai,2457772
DataLogic,AI Engineer,Hyderabad,1915200
DeepSolutions,Full Stack Developer,Pune,2186282
AI-Flow,Data Scientist,Remote,2317136
DataLogic,Data Scientist,Mumbai,705858
DeepSolutions,Backend Engineer,Bangalore,2406702
TechNova,Backend Engineer,Pune,1762509
CloudScale,Prompt Engineer,Remote,1018535
DataLogic,Prompt Engineer,Hyderabad,1040519
AI-Flow,AI Engineer,Delhi,2130905
DataLogic,Prompt Engineer,Bangalore,2119389
CloudScale,AI Engineer,Remote,2049788
CloudScale,Backend Engineer,Delhi,2211966
AI-Flow,Full Stack Developer,Mumbai,1176243
TechNova,Prompt Engineer,Remote,878756
DataLogic,Prompt Engineer,Hyderabad,1168594
DeepSolutions,Full Stack Developer,Mumbai,1888586
DeepSolutions,Backend Engineer,Delhi,1271449
CloudScale,Data Scientist,Bangalore,1830175
DataLogic,AI Engineer,Pune,1347512
DataLogic,Prompt Engineer,Delhi,1860200
CloudScale,Backend Engineer,Delhi,2473714
AI-Flow,Prompt Engineer,Hyderabad,1939467
AI-Flow,Data Scientist,Hyderabad,1612624
CloudScale,Backend Engineer,Delhi,630075
AI-Flow,Backend Engineer,Bangalore,1019051
TechNova,Backend Engineer,Delhi,1690936
DeepSolutions,Data Scientist,Mumbai,2167336
AI-Flow,Backend Engineer,Pune,1359562
AI-Flow,Prompt Engineer,Delhi,2188375
TechNova,AI Engineer,Remote,2121484
DataLogic,Backend Engineer,Pune,1120693
AI-Flow,Data Scientist,Pune,1969782
TechNova,Full Stack Developer,Mumbai,1572456
CloudScale,Prompt Engineer,Mumbai,2469963
AI-Flow,AI Engineer,Delhi,2270626
CloudScale,Prompt Engineer,Pune,1827472
TechNova,Data Scientist,Bangalore,1033788
CloudScale,Prompt Engineer,Mumbai,828534
DataLogic,Prompt Engineer,Remote,1796367
DataLogic,Prompt Engineer,Hyderabad,1044114
DeepSolutions,Backend Engineer,Hyderabad,1370112
DataLogic,Data Scientist,Pune,1709720
DeepSolutions,AI Engineer,Pune,1230158
TechNova,Full Stack Developer,Pune,727007
CloudScale,Prompt Engineer,Pune,2420269
TechNova,Data Scientist,Bangalore,1436011
AI-Flow,Data Scientist,Pune,954746
DeepSolutions,Prompt Engineer,Delhi,2339516
AI-Flow,Backend Engineer,Delhi,2289204
